ABTX, ABTX, 32.62380, -99.64310, 502.0
ABU, ABU, 34.86030, 135.57400, 200.0
ABUS, ABUS, 22.25000, 31.13722, 230.0
ABV, ABV, 18.72980, -64.33200, 35.0
ABVI, ABVI, 18.72967, -64.33253, 8.0
AB-WV, AB-WV, 39.33056, -79.56694, 914.0
ACA, ACA, 51.48090, 179.11900, 42.0
ACAL, ACAL, 10.63400, -85.03500, 767.0
ACAN, ACAN, -32.27420, -67.18850, 634.0
ACAP, ACAP, 41.96530, 13.37940, 658.0
ACB, ACB, 51.46260, 179.09100, 47.0
ACBG, ACBG, 36.76867, -2.19383, 64.0
ACC, ACC, 51.48430, 179.04300, 26.0
ACCN, ACCN, 43.38431, -73.66781, 340.0
ACCO, ACCO, -30.58770, -69.06530, 2792.0
ACD, ACD, 51.42820, 179.13700, 37.0
ACDF, ACDF, 44.93000, 2.44000, 640.0
ACDV, ACDV, -30.17080, -69.11970, 1572.0
ACE, ACE, 51.40050, 179.17300, 9.0
ACEO, ACEO, 41.74900, -80.76800, 293.0
ACER, ACER, 40.78670, 15.94270, 690.0
ACES, ACES, 47.55950, -122.34110, 55.0
ACF, ACF, 51.52580, 178.99400, 62.0
ACH, ACH, 8.66350, -79.92917, 900.0
ACHA, ACHA, 58.21069, -155.32600, 960.0
ACHB, ACHB, 47.58760, 8.25430, 470.0
ACHE, ACHE, -31.16100, -66.66370, 1470.0
ACHM, ACHM, 37.10500, -3.82967, 862.0
ACHS, ACHS, 57.03000, 122.85000, 930.0
ACI, ACI, 39.35080, 16.20310, 300.0
AC-IS, AC-IS, 51.38944, 179.34250, 61.0
ACK, ACK, 65.95417, -162.18900, 377.0
ACKN, ACKN, 64.99150, -110.87081, 467.0
ACL, ACL, 38.53310, 14.35560, 140.0
ACLA, ACLA, 9.36500, -79.70650, 460.0
ACLC, ACLC, -29.42550, -66.95200, 1650.0
ACLR, ACLR, 37.18967, -2.58217, 1490.0
ACLS, ACLS, 11.03120, -84.71760, 41.0
ACM, ACM, 42.64750, -85.85167, 268.0
ACO, ACO, 36.69860, -99.14610, 521.0
ACOH, ACOH, 40.23181, -82.98331, 0
ACOM, ACOM, 46.54800, 13.51300, 1788.0
ACON, ACON, 11.96800, -85.17400, 107.0
ACOR, ACOR, 37.89020, 22.86920, 437.0
ACOT, ACOT, 0.29490, -78.27450, 2482.0
ACP, ACP, 18.20783, -98.05967, 1250.0
ACP2, ACP2, 16.87430, -99.88650, 167.0
ACR, ACR, 8.65317, -83.16800, 500.0
ACSO, ACSO, 40.23189, -82.98203, 288.0
ACTN, ACTN, 36.34700, -89.31000, 143.0
ACTO, ACTO, 43.60867, -80.06236, 360.0
ACU, ACU, 38.51140, -0.41056, 580.0
ACVZ, ACVZ, 1.22700, -77.35881, 1470.0
ACX, ACX, 16.86940, -99.85830, 300.0
ACY, ACY, 11.99767, -85.22517, 400.0
AD-, AD-IS, 51.87500, -176.67917, 61.0
AD01, AD01, 44.05830, 12.09750, 284.0
AD02, AD02, 43.84710, 12.66870, 355.0
AD03, AD03, 43.79100, 12.84740, 377.0
AD04, AD04, 43.64400, 13.03980, 227.0
AD05, AD05, 43.54570, 13.18220, 216.0
AD06, AD06, 43.49440, 13.43660, 112.0
AD1, AD1, 52.02330, -176.15200, 244.0
AD2, AD2, 51.90330, -176.01800, 381.0
AD3, AD3, 51.74280, -176.35700, 198.0
AD4, AD4, 51.69860, -176.63200, 213.0
AD5, AD5, 51.62890, -176.92500, 152.0
AD6, AD6, 51.70830, -177.24200, 137.0
AD7, AD7, 51.90000, -177.09000, 244.0
AD8, AD8, 51.98060, -176.60000, 259.0
